benchmark,ccws_avg_candidates,ccws_avg_lls,ccws_fallback_issues,ccws_fallback_per_throttle,ccws_max_lls,ccws_throttle_rate,ccws_throttled_loads,ccws_vta_hit_rate,ccws_vta_hits,ccws_vta_inserts,coalescer_misses,config_name,cores,cycles,cycles_norm_to_GTO,dcache_bank_stalls,dcache_mshr_stalls,dcache_read_misses,dcache_read_mpki,dcache_read_mpki_norm_to_GTO,dcache_reads,dcache_total_mpki,dcache_total_mpki_norm_to_GTO,dcache_write_misses,dcache_write_mpki,dcache_write_mpki_norm_to_GTO,dcache_writes,fallback_pki,ibuffer_stalls,ibuffer_stalls_pct,ifetch_latency,instrs,ipc,ipc_norm_to_GTO,load_latency,loads,logfile,memory_latency,memory_reads,memory_req_pki,memory_req_pki_norm_to_GTO,memory_requests,memory_rpki,memory_rpki_norm_to_GTO,memory_wpki,memory_writes,operands_stalls,operands_stalls_pct,policy,scheduler_idle,scheduler_idle_pct,scheduler_idle_pct_norm_to_GTO,scoreboard_alu_pct,scoreboard_csrs_pct,scoreboard_fpu_pct,scoreboard_lsu_pct,scoreboard_lsu_pct_norm_to_GTO,scoreboard_stalls,scoreboard_stalls_pct,scoreboard_wctl_pct,status,stores,threads,throttle_pki,vta_hit_pki,warps
bfs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,271846.0,baseline_gto,1,134478.0,1.0,110988.0,0.0,4511.0,19.179340223893604,1.0,14236.0,38.74133188209234,1.0,4601.0,19.561991658198732,1.0,14316.0,0.0,76293.0,56.0,5.0,235201.0,1.748992,1.0,53.0,44348.0,/home/ltj/2026urp/vortex_aware_scheduler/ccws_group_sweep_20260513_003707/HCS/bfs/bfs_GTO_baseline_gto_c1w16t16.log,189.0,4474.0,80.02516996101207,1.0,18822.0,19.022027967568164,1.0,61.003141993443904,14348.0,979.0,0.0,GTO,119147.0,88.0,1.0,7.0,0.0,0.0,92.0,1.0,117482.0,87.0,0.0,PASS,19308.0,16,0.0,0.0,16
bfs,2.77,284.672,174.0,0.8656716417910447,50466.0,0.004532335167313069,201.0,0.1682938168293817,724.0,4302.0,271846.0,P0_dyn_base100_k8_vta16_nocap,1,130525.0,0.9706048573000788,111180.0,0.0,4302.0,18.290738559785034,0.9536688095765906,14236.0,37.88674367881089,0.9779411764705882,4609.0,19.596005119025854,1.0017387524451207,14316.0,0.7397927729899108,74057.0,56.0,5.0,235201.0,1.801961,1.0302854444159835,50.0,44348.0,/home/ltj/2026urp/vortex_aware_scheduler/ccws_group_sweep_20260513_003707/HCS/bfs/bfs_CCWS_P0_dyn_base100_k8_vta16_nocap_c1w16t16.log,186.0,4182.0,78.7836786408221,0.9844862395069599,18530.0,17.7805366473782,0.9347340187751453,61.003141993443904,14348.0,979.0,0.0,CCWS,115194.0,88.0,1.0,7.0,0.0,0.0,92.0,1.0,113507.0,86.0,0.0,PASS,19308.0,16,0.8545882032814486,3.078218204854571,16
bfs,2.688,548.656,252.0,0.8129032258064516,93019.0,0.006990168666005232,310.0,0.20577451879010084,898.0,4364.0,271846.0,P1_dyn_base100_k8_vta16_cap8,1,130177.0,0.9680170734246494,111159.0,0.0,4364.0,18.554342881195232,0.9674129904677455,14236.0,38.150348000221086,0.9847453906935908,4609.0,19.596005119025854,1.0017387524451207,14316.0,1.0714240160543536,71132.0,54.0,5.0,235201.0,1.806778,1.0330396022394612,50.0,44348.0,/home/ltj/2026urp/vortex_aware_scheduler/ccws_group_sweep_20260513_003707/HCS/bfs/bfs_CCWS_P1_dyn_base100_k8_vta16_cap8_c1w16t16.log,179.0,4270.0,79.15782670992046,0.9891616193815749,18618.0,18.154684716476545,0.9544032185963344,61.003141993443904,14348.0,979.0,0.0,CCWS,114846.0,88.0,1.0,7.0,0.0,0.0,92.0,1.0,113209.0,86.0,0.0,PASS,19308.0,16,1.3180216070509905,3.818010977844482,16
bfs,2.736,127.767,220.0,0.5962059620596206,8027.0,0.008320555605664292,369.0,0.05653631284916201,253.0,4475.0,271846.0,P2_dyn_base100_k8_vta16_cap4,1,133215.0,0.9906081292107259,111043.0,0.0,4475.0,19.026279650171556,0.9920195078696521,14236.0,38.63078813440419,0.9971466198419666,4611.0,19.604508484232635,1.002173440556401,14316.0,0.9353701727458642,74115.0,55.0,5.0,235201.0,1.765574,1.0094808895638172,52.0,44348.0,/home/ltj/2026urp/vortex_aware_scheduler/ccws_group_sweep_20260513_003707/HCS/bfs/bfs_CCWS_P2_dyn_base100_k8_vta16_cap4_c1w16t16.log,183.0,4431.0,79.8423476090663,0.9977154393794497,18779.0,18.839205615622383,0.9903889137237373,61.003141993443904,14348.0,979.0,0.0,CCWS,117884.0,88.0,1.0,7.0,0.0,0.0,92.0,1.0,116222.0,87.0,0.0,PASS,19308.0,16,1.5688708806510177,1.0756756986577438,16
kmeans,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26262.0,baseline_gto,1,188161.0,1.0,19603.0,0.0,5156.0,9.053794217582553,1.0,17770.0,20.251630859460743,1.0,6377.0,11.197836641878189,1.0,6819.0,0.0,49903.0,26.0,5.0,569485.0,3.026584,1.0,25.0,104904.0,/home/ltj/2026urp/vortex_aware_scheduler/ccws_group_sweep_20260513_003707/HCS/kmeans/kmeans_GTO_baseline_gto_c1w16t16.log,121.0,3962.0,18.987330658401888,1.0,10813.0,6.957163050826624,1.0,12.030167607575265,6851.0,3773.0,2.0,GTO,148063.0,78.0,1.0,20.0,0.0,11.0,68.0,1.0,133922.0,71.0,0.0,PASS,8920.0,16,0.0,0.0,16
kmeans,1.37,151.949,33.0,0.9705882352941176,15052.0,0.0003241058491573248,34.0,0.054693560899922423,282.0,5156.0,26262.0,P0_dyn_base100_k8_vta16_nocap,1,188161.0,1.0,19603.0,0.0,5156.0,9.053794217582553,1.0,17770.0,20.251630859460743,1.0,6377.0,11.197836641878189,1.0,6819.0,0.057947092548530685,49903.0,26.0,5.0,569485.0,3.026584,1.0,25.0,104904.0,/home/ltj/2026urp/vortex_aware_scheduler/ccws_group_sweep_20260513_003707/HCS/kmeans/kmeans_CCWS_P0_dyn_base100_k8_vta16_nocap_c1w16t16.log,121.0,3962.0,18.987330658401888,1.0,10813.0,6.957163050826624,1.0,12.030167607575265,6851.0,3773.0,2.0,CCWS,148063.0,78.0,1.0,20.0,0.0,11.0,68.0,1.0,133922.0,71.0,0.0,PASS,8920.0,16,0.059703065050001315,0.49518424541471684,16
kmeans,1.37,151.949,34.0,0.9714285714285714,15052.0,0.00033363837413254025,35.0,0.054693560899922423,282.0,5156.0,26262.0,P1_dyn_base100_k8_vta16_cap8,1,188161.0,1.0,19603.0,0.0,5156.0,9.053794217582553,1.0,17770.0,20.251630859460743,1.0,6377.0,11.197836641878189,1.0,6819.0,0.059703065050001315,49903.0,26.0,5.0,569485.0,3.026584,1.0,25.0,104904.0,/home/ltj/2026urp/vortex_aware_scheduler/ccws_group_sweep_20260513_003707/HCS/kmeans/kmeans_CCWS_P1_dyn_base100_k8_vta16_cap8_c1w16t16.log,121.0,3962.0,18.987330658401888,1.0,10813.0,6.957163050826624,1.0,12.030167607575265,6851.0,3773.0,2.0,CCWS,148063.0,78.0,1.0,20.0,0.0,11.0,68.0,1.0,133922.0,71.0,0.0,PASS,8920.0,16,0.06145903755147194,0.49518424541471684,16
kmeans,1.367,157.007,2071.0,0.9119330691325407,15828.0,0.02164836421871425,2271.0,0.05590304925723221,286.0,5116.0,26262.0,P2_dyn_base100_k8_vta16_cap4,1,188407.0,1.0013073910108896,19598.0,0.0,5116.0,8.983555317523727,0.9922420480993017,17770.0,20.18490390440486,0.9967051070840197,6379.0,11.201348586881128,1.0003136270973811,6819.0,3.6366190505456686,50209.0,26.0,5.0,569485.0,3.022632,0.9986942374637545,25.0,104904.0,/home/ltj/2026urp/vortex_aware_scheduler/ccws_group_sweep_20260513_003707/HCS/kmeans/kmeans_CCWS_P2_dyn_base100_k8_vta16_cap4_c1w16t16.log,122.0,3954.0,18.973282878390126,0.9992601498196617,10805.0,6.943115270814859,0.9979808177688037,12.030167607575265,6851.0,3773.0,2.0,CCWS,148309.0,78.0,1.0,20.0,0.0,11.0,67.0,0.9852941176470589,134128.0,71.0,0.0,PASS,8920.0,16,3.987813550839794,0.5022081354205993,16
spmv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9604.0,baseline_gto,1,129633.0,1.0,6600.0,0.0,5880.0,28.607709485791016,1.0,12370.0,73.27563138869023,1.0,9181.0,44.66792190289921,1.0,10441.0,0.0,43653.0,33.0,52.0,205539.0,1.585545,1.0,50.0,42410.0,/home/ltj/2026urp/vortex_aware_scheduler/ccws_group_sweep_20260513_003707/HCS/spmv/spmv_GTO_baseline_gto_c1w16t16.log,88.0,5204.0,76.27262952529689,1.0,15677.0,25.318795946268104,1.0,50.953833579028796,10473.0,922.0,0.0,GTO,116228.0,89.0,1.0,7.0,0.0,0.0,92.0,1.0,87461.0,67.0,0.0,PASS,13792.0,16,0.0,0.0,16
spmv,2.305,498.902,651.0,0.6112676056338028,39504.0,0.02511200188634756,1065.0,0.12397034596375618,602.0,4856.0,9604.0,P0_dyn_base100_k8_vta16_nocap,1,129247.0,0.9970223631328443,6604.0,0.0,5828.0,28.35471613659695,0.9911564625850341,12370.0,73.04209906635724,0.9968129606267844,9185.0,44.68738292976029,1.0004356823875393,10441.0,3.1672821216411484,43279.0,33.0,52.0,205539.0,1.590281,1.0029869855475562,50.0,42410.0,/home/ltj/2026urp/vortex_aware_scheduler/ccws_group_sweep_20260513_003707/HCS/spmv/spmv_CCWS_P0_dyn_base100_k8_vta16_nocap_c1w16t16.log,86.0,5161.0,76.06342348654027,0.997257128277094,15634.0,25.10958990751147,0.9917371252882399,50.953833579028796,10473.0,922.0,0.0,CCWS,115842.0,89.0,1.0,7.0,0.0,0.0,92.0,1.0,87082.0,67.0,0.0,PASS,13792.0,16,5.181498401763169,2.9288845425928898,16
