group,benchmark,policy,config_name,cores,warps,threads,status,logfile
HCS,bfs,GTO,baseline_gto,1,16,16,PASS,ccws_group_sweep_20260513_003707/HCS/bfs/bfs_GTO_baseline_gto_c1w16t16.log
HCS,bfs,CCWS,P0_dyn_base100_k8_vta16_nocap,1,16,16,PASS,ccws_group_sweep_20260513_003707/HCS/bfs/bfs_CCWS_P0_dyn_base100_k8_vta16_nocap_c1w16t16.log
HCS,bfs,CCWS,P1_dyn_base100_k8_vta16_cap8,1,16,16,PASS,ccws_group_sweep_20260513_003707/HCS/bfs/bfs_CCWS_P1_dyn_base100_k8_vta16_cap8_c1w16t16.log
HCS,bfs,CCWS,P2_dyn_base100_k8_vta16_cap4,1,16,16,PASS,ccws_group_sweep_20260513_003707/HCS/bfs/bfs_CCWS_P2_dyn_base100_k8_vta16_cap4_c1w16t16.log
HCS,kmeans,GTO,baseline_gto,1,16,16,PASS,ccws_group_sweep_20260513_003707/HCS/kmeans/kmeans_GTO_baseline_gto_c1w16t16.log
HCS,kmeans,CCWS,P0_dyn_base100_k8_vta16_nocap,1,16,16,PASS,ccws_group_sweep_20260513_003707/HCS/kmeans/kmeans_CCWS_P0_dyn_base100_k8_vta16_nocap_c1w16t16.log
HCS,kmeans,CCWS,P1_dyn_base100_k8_vta16_cap8,1,16,16,PASS,ccws_group_sweep_20260513_003707/HCS/kmeans/kmeans_CCWS_P1_dyn_base100_k8_vta16_cap8_c1w16t16.log
HCS,kmeans,CCWS,P2_dyn_base100_k8_vta16_cap4,1,16,16,PASS,ccws_group_sweep_20260513_003707/HCS/kmeans/kmeans_CCWS_P2_dyn_base100_k8_vta16_cap4_c1w16t16.log
HCS,spmv,GTO,baseline_gto,1,16,16,PASS,ccws_group_sweep_20260513_003707/HCS/spmv/spmv_GTO_baseline_gto_c1w16t16.log
HCS,spmv,CCWS,P0_dyn_base100_k8_vta16_nocap,1,16,16,PASS,ccws_group_sweep_20260513_003707/HCS/spmv/spmv_CCWS_P0_dyn_base100_k8_vta16_nocap_c1w16t16.log
HCS,spmv,CCWS,P1_dyn_base100_k8_vta16_cap8,1,16,16,PASS,ccws_group_sweep_20260513_003707/HCS/spmv/spmv_CCWS_P1_dyn_base100_k8_vta16_cap8_c1w16t16.log
HCS,spmv,CCWS,P2_dyn_base100_k8_vta16_cap4,1,16,16,PASS,ccws_group_sweep_20260513_003707/HCS/spmv/spmv_CCWS_P2_dyn_base100_k8_vta16_cap4_c1w16t16.log
