run,graph,dcache,policy,status,rows,issued,span,ipc,read_miss,write_miss,artifact
run5,32,512,RR,ok,119136,1863,29813,0.062490,430,0,/home/ltj/2026urp/vortex_arb/worklogs/trace_runs/run5/RR/bfs
run5,32,512,GTO,ok,21788,1863,10392,0.179273,410,0,/home/ltj/2026urp/vortex_arb/worklogs/trace_runs/run5/GTO/bfs
run5,32,512,gCAWS,ok,90420,1863,29029,0.064177,430,0,/home/ltj/2026urp/vortex_arb/worklogs/trace_runs/run5/gCAWS/bfs
run6,32,1024,RR,ok,118800,1863,29693,0.062742,423,0,/home/ltj/2026urp/vortex_arb/worklogs/trace_runs/run6/RR/bfs
run6,32,1024,GTO,ok,21374,1863,9944,0.187349,403,0,/home/ltj/2026urp/vortex_arb/worklogs/trace_runs/run6/GTO/bfs
run6,32,1024,gCAWS,ok,90774,1863,28924,0.064410,417,0,/home/ltj/2026urp/vortex_arb/worklogs/trace_runs/run6/gCAWS/bfs
run7,32,2048,RR,ok,96797,1863,29717,0.062691,388,0,/home/ltj/2026urp/vortex_arb/worklogs/trace_runs/run7/RR/bfs
run7,32,2048,GTO,ok,18825,1863,10272,0.181367,379,0,/home/ltj/2026urp/vortex_arb/worklogs/trace_runs/run7/GTO/bfs
run7,32,2048,gCAWS,ok,90194,1863,28899,0.064466,381,0,/home/ltj/2026urp/vortex_arb/worklogs/trace_runs/run7/gCAWS/bfs
run8,32,4096,RR,ok,118117,1863,29723,0.062679,370,0,/home/ltj/2026urp/vortex_arb/worklogs/trace_runs/run8/RR/bfs
run8,32,4096,GTO,ok,18552,1863,10292,0.181014,349,0,/home/ltj/2026urp/vortex_arb/worklogs/trace_runs/run8/GTO/bfs
run8,32,4096,gCAWS,ok,90442,1863,28908,0.064446,363,0,/home/ltj/2026urp/vortex_arb/worklogs/trace_runs/run8/gCAWS/bfs
run9,32,8192,RR,ok,118105,1863,29759,0.062603,363,0,/home/ltj/2026urp/vortex_arb/worklogs/trace_runs/run9/RR/bfs
run9,32,8192,GTO,ok,20588,1863,10292,0.181014,342,0,/home/ltj/2026urp/vortex_arb/worklogs/trace_runs/run9/GTO/bfs
run9,32,8192,gCAWS,ok,89590,1863,28915,0.064430,349,0,/home/ltj/2026urp/vortex_arb/worklogs/trace_runs/run9/gCAWS/bfs
run10,32,16384,RR,ok,118105,1863,29759,0.062603,363,0,/home/ltj/2026urp/vortex_arb/worklogs/trace_runs/run10/RR/bfs
run10,32,16384,GTO,ok,20588,1863,10292,0.181014,342,0,/home/ltj/2026urp/vortex_arb/worklogs/trace_runs/run10/GTO/bfs
run10,32,16384,gCAWS,ok,89590,1863,28915,0.064430,349,0,/home/ltj/2026urp/vortex_arb/worklogs/trace_runs/run10/gCAWS/bfs
run11,64,512,RR,ok,147808,4288,35630,0.120348,868,0,/home/ltj/2026urp/vortex_arb/worklogs/trace_runs/run11/RR/bfs
run11,64,512,GTO,ok,51429,4288,17498,0.245057,862,0,/home/ltj/2026urp/vortex_arb/worklogs/trace_runs/run11/GTO/bfs
run11,64,512,gCAWS,ok,78509,4288,34932,0.122753,869,0,/home/ltj/2026urp/vortex_arb/worklogs/trace_runs/run11/gCAWS/bfs
run12,64,1024,RR,ok,146695,4288,35603,0.120439,847,0,/home/ltj/2026urp/vortex_arb/worklogs/trace_runs/run12/RR/bfs
run12,64,1024,GTO,ok,55734,4288,17229,0.248883,832,0,/home/ltj/2026urp/vortex_arb/worklogs/trace_runs/run12/GTO/bfs
run12,64,1024,gCAWS,ok,77192,4288,50796,0.084416,843,0,/home/ltj/2026urp/vortex_arb/worklogs/trace_runs/run12/gCAWS/bfs
run13,64,2048,RR,ok,171587,4288,35544,0.120639,824,0,/home/ltj/2026urp/vortex_arb/worklogs/trace_runs/run13/RR/bfs
run13,64,2048,GTO,ok,50825,4288,17125,0.250394,819,0,/home/ltj/2026urp/vortex_arb/worklogs/trace_runs/run13/GTO/bfs
run13,64,2048,gCAWS,ok,100580,4288,34746,0.123410,810,0,/home/ltj/2026urp/vortex_arb/worklogs/trace_runs/run13/gCAWS/bfs
run14,64,4096,RR,ok,197502,4288,35493,0.120813,762,0,/home/ltj/2026urp/vortex_arb/worklogs/trace_runs/run14/RR/bfs
run14,64,4096,GTO,ok,49179,4288,16931,0.253263,753,0,/home/ltj/2026urp/vortex_arb/worklogs/trace_runs/run14/GTO/bfs
run14,64,4096,gCAWS,ok,94440,4288,34036,0.125984,755,0,/home/ltj/2026urp/vortex_arb/worklogs/trace_runs/run14/gCAWS/bfs
