run,bench,input,nodes,edges,working_set_bytes,working_set_note,dcache_size,policy,status,trace_rows,issued,span_cycles,ipc,read_misses,non_cold_misses,reuse_hit_pct,unique_lines,line_local_pct,overflow_sets,read_hit_pct,reuse_access_ratio,line_stride_64_plus_pct,max_unique_tags_per_set,same_set_tag_changes,artifact
54,bfs,graph32,32,188,1233,nodes=8*32B edges=4*188B masks=3*32B cost=4*32B over=1B,512,RR,ok,119136,1863,29813,0.062490,430,344,8,92,6.00,2,8,80.34,83.51,47,382,/home/ltj/2026urp/vortex_arb/worklogs/trace_runs/run54/RR/bfs
54,bfs,graph32,32,188,1233,nodes=8*32B edges=4*188B masks=3*32B cost=4*32B over=1B,512,GTO,ok,21788,1863,10392,0.179273,410,325,13,92,6.00,2,12,80.34,83.51,47,382,/home/ltj/2026urp/vortex_arb/worklogs/trace_runs/run54/GTO/bfs
54,bfs,graph32,32,188,1233,nodes=8*32B edges=4*188B masks=3*32B cost=4*32B over=1B,512,gCAWS,ok,90420,1863,29029,0.064177,430,344,8,92,6.00,2,8,80.34,83.51,47,382,/home/ltj/2026urp/vortex_arb/worklogs/trace_runs/run54/gCAWS/bfs
55,bfs,graph32,32,188,1233,nodes=8*32B edges=4*188B masks=3*32B cost=4*32B over=1B,1024,RR,ok,118800,1863,29693,0.062742,423,337,10,92,6.00,4,9,80.34,83.51,40,375,/home/ltj/2026urp/vortex_arb/worklogs/trace_runs/run55/RR/bfs
55,bfs,graph32,32,188,1233,nodes=8*32B edges=4*188B masks=3*32B cost=4*32B over=1B,1024,GTO,ok,21374,1863,9944,0.187349,403,318,15,92,6.00,4,13,80.34,83.51,40,375,/home/ltj/2026urp/vortex_arb/worklogs/trace_runs/run55/GTO/bfs
55,bfs,graph32,32,188,1233,nodes=8*32B edges=4*188B masks=3*32B cost=4*32B over=1B,1024,gCAWS,ok,90774,1863,28924,0.064410,417,331,11,92,6.00,4,10,80.34,83.51,40,375,/home/ltj/2026urp/vortex_arb/worklogs/trace_runs/run55/gCAWS/bfs
56,bfs,graph32,32,188,1233,nodes=8*32B edges=4*188B masks=3*32B cost=4*32B over=1B,2048,RR,ok,96797,1863,29717,0.062691,388,318,15,92,6.00,2,17,80.34,83.51,36,355,/home/ltj/2026urp/vortex_arb/worklogs/trace_runs/run56/RR/bfs
56,bfs,graph32,32,188,1233,nodes=8*32B edges=4*188B masks=3*32B cost=4*32B over=1B,2048,GTO,ok,18825,1863,10272,0.181367,379,309,17,92,6.00,2,19,80.34,83.51,36,354,/home/ltj/2026urp/vortex_arb/worklogs/trace_runs/run56/GTO/bfs
56,bfs,graph32,32,188,1233,nodes=8*32B edges=4*188B masks=3*32B cost=4*32B over=1B,2048,gCAWS,ok,90194,1863,28899,0.064466,381,311,17,92,6.00,2,18,80.34,83.51,36,354,/home/ltj/2026urp/vortex_arb/worklogs/trace_runs/run56/gCAWS/bfs
57,bfs,graph32,32,188,1233,nodes=8*32B edges=4*188B masks=3*32B cost=4*32B over=1B,4096,RR,ok,118117,1863,29723,0.062679,370,306,18,92,6.42,2,20,80.34,83.51,33,353,/home/ltj/2026urp/vortex_arb/worklogs/trace_runs/run57/RR/bfs
57,bfs,graph32,32,188,1233,nodes=8*32B edges=4*188B masks=3*32B cost=4*32B over=1B,4096,GTO,ok,18552,1863,10292,0.181014,349,288,23,92,6.42,2,25,80.34,83.51,33,353,/home/ltj/2026urp/vortex_arb/worklogs/trace_runs/run57/GTO/bfs
