p	f	policy	rc	IPC	cycles	L1_MPKI	l1_hit	mlat	scrb_pct	all_empty_pct	issued_pct	ready_size0_pct
64	2	RR	0	1.038072	102909	104.89	10	206	85.8%	7.2%	7.0%	93%
64	4	RR	0	1.074394	104162	100.31	11	205	83.3%	9.6%	7.2%	93%
64	8	RR	0	1.160020	105287	91.69	15	206	70.3%	22.5%	7.3%	93%
64	16	RR	0	1.314031	108642	78.54	20	206	64.1%	28.2%	7.7%	92%
64	32	RR	0	1.579957	116362	64.31	20	189	64.4%	26.8%	8.8%	91%
64	64	RR	0	2.011707	132142	51.99	23	163	67.3%	21.9%	10.8%	89%
64	96	RR	0	2.357935	147454	41.61	27	146	67.4%	20.1%	12.5%	88%
128	2	RR	0	1.140841	104217	94.50	12	205	85.5%	6.9%	7.6%	92%
128	4	RR	0	1.236520	104376	87.12	14	206	82.6%	9.2%	8.2%	92%
128	8	RR	0	1.402056	106637	75.18	20	205	69.6%	22.0%	8.4%	92%
128	16	RR	0	1.757532	108538	61.84	20	191	62.9%	27.6%	9.5%	90%
128	32	RR	0	2.292473	119057	50.61	23	163	65.1%	23.1%	11.8%	88%
128	64	RR	0	3.225757	135442	32.61	30	133	65.0%	19.9%	15.2%	85%
128	96	RR	0	3.977293	151011	27.15	34	115	63.4%	18.1%	18.4%	82%
256	2	RR	0	1.220279	127779	88.61	16	189	85.7%	6.1%	8.2%	92%
256	4	RR	0	1.361475	129464	78.69	19	192	82.8%	8.2%	9.0%	91%
256	8	RR	0	1.643058	132167	66.63	19	189	69.4%	20.7%	9.9%	90%
256	16	RR	0	2.187671	136974	50.69	22	166	67.9%	20.6%	11.5%	88%
256	32	RR	0	3.159814	146846	35.45	29	139	66.2%	18.7%	15.1%	85%
256	64	RR	0	4.751813	166661	24.01	35	112	63.6%	15.7%	20.6%	79%
256	96	RR	0	5.963273	187710	19.26	39	94	60.2%	14.1%	25.7%	74%
512	2	RR	0	1.295422	177539	77.27	18	237	88.0%	3.4%	8.6%	91%
512	4	RR	0	1.509066	179356	67.97	18	223	85.7%	4.4%	9.9%	90%
512	8	RR	0	1.899304	185569	53.77	21	209	78.8%	10.3%	11.0%	89%
512	16	RR	0	2.650053	195258	39.27	26	186	75.3%	11.9%	12.8%	87%
512	32	RR	0	3.926004	215524	27.32	32	155	71.8%	10.6%	17.6%	82%
512	64	RR	0	5.856171	256485	19.03	38	119	66.6%	8.7%	24.7%	75%
512	96	RR	0	7.233904	298161	15.94	41	99	63.0%	7.4%	29.6%	70%
1024	2	RR	0	1.830625	187324	52.02	23	225	84.8%	3.2%	12.0%	88%
1024	4	RR	0	2.187063	193988	43.60	26	209	81.8%	4.0%	14.2%	86%
1024	8	RR	0	2.880478	204080	33.69	30	184	74.6%	9.3%	16.0%	84%
1024	16	RR	0	4.111506	223235	24.35	35	152	71.7%	10.0%	18.3%	82%
1024	32	RR	0	5.944616	264986	17.50	39	117	67.1%	8.3%	24.7%	75%
1024	64	RR	0	8.313729	347255	13.19	43	84	60.9%	6.2%	32.9%	67%
1024	96	RR	0	9.797704	428333	11.71	45	70	57.2%	4.9%	37.9%	62%
2048	2	RR	0	2.709748	209900	32.96	34	216	79.4%	2.9%	17.7%	82%
2048	4	RR	0	3.309343	221030	27.38	37	191	75.1%	3.6%	21.3%	79%
2048	8	RR	0	4.361123	242743	21.39	39	159	68.2%	8.0%	23.9%	76%
2048	16	RR	0	6.130588	280332	16.19	43	125	67.3%	7.6%	25.1%	75%
2048	32	RR	0	8.338004	363806	12.58	45	90	62.3%	5.7%	32.0%	68%
2048	64	RR	0	10.754325	526012	10.43	47	65	56.3%	3.9%	39.9%	60%
2048	96	RR	0	11.978435	690933	9.67	48	56	53.4%	2.9%	43.7%	56%
4096	2	RR	0	4.098494	248991	20.06	46	209	71.4%	2.4%	26.2%	74%
4096	4	RR	0	4.863332	276737	17.22	47	166	65.8%	2.9%	31.3%	69%
4096	8	RR	0	6.302721	317355	14.16	47	126	59.7%	6.1%	34.2%	66%
4096	16	RR	0	8.339222	398135	11.63	48	93	62.1%	5.2%	32.7%	67%
4096	32	RR	0	10.633301	559541	9.97	49	68	57.8%	3.5%	38.6%	61%
4096	64	RR	0	12.664066	884135	9.00	49	51	53.1%	2.2%	44.7%	55%
4096	96	RR	0	13.560163	1212045	8.68	49	44	50.3%	1.6%	48.1%	52%
8192	2	RR	0	5.844808	329166	12.58	57	179	61.1%	1.8%	37.0%	63%
8192	4	RR	0	6.586503	390900	11.41	55	138	55.2%	2.1%	42.7%	57%
8192	8	RR	0	8.290375	468415	10.25	53	100	50.5%	4.2%	45.2%	55%
8192	16	RR	0	10.248608	636497	9.38	52	77	58.4%	3.1%	38.5%	62%
8192	32	RR	0	11.920150	988450	8.70	51	59	56.1%	1.9%	42.0%	58%
8192	64	RR	0	13.194691	1688287	8.31	50	48	54.0%	1.1%	44.9%	55%
8192	96	RR	0	13.862826	2362721	8.20	50	43	50.1%	0.8%	49.1%	51%
16384	2	RR	0	7.499995	497435	8.64	65	153	51.0%	1.2%	47.7%	52%
16384	4	RR	0	8.246004	610267	8.35	60	116	45.2%	1.3%	53.5%	47%
16384	8	RR	0	9.384306	815149	8.50	57	105	45.9%	2.5%	51.7%	48%
16384	16	RR	0	9.866827	1310386	8.26	54	89	59.8%	1.6%	38.6%	61%
16384	32	RR	0	10.180663	2303178	8.06	52	78	59.8%	0.9%	39.2%	61%
16384	64	RR	0	10.436587	4257693	7.99	51	71	59.8%	0.5%	39.7%	60%
16384	96	RR	0	10.450782	6257036	7.99	50	68	57.8%	0.4%	41.8%	58%
32768	2	RR	0	8.654944	848585	6.70	69	145	43.7%	0.7%	55.6%	44%
32768	4	RR	0	8.347289	1191700	7.23	64	151	45.0%	0.7%	54.3%	46%
32768	8	RR	0	7.508033	2022121	7.58	58	146	54.7%	1.1%	44.3%	56%
32768	16	RR	0	6.796956	3787231	7.65	55	144	68.4%	0.6%	30.9%	69%
32768	32	RR	0	6.362257	7352531	7.78	52	143	70.9%	0.3%	28.8%	71%
32768	64	RR	0	6.153196	14424130	7.83	51	142	72.0%	0.2%	27.8%	72%
32768	96	RR	0	6.181325	21138634	7.88	50	139	70.9%	0.1%	29.0%	71%
64	2	GTO	0	1.047662	101967	104.87	10	208	85.8%	7.2%	7.0%	93%
