n	t	policy	rc	IPC	cycles	instrs	L1_hit	L1_MPKI	sched_idle	scrb	lsu_pct	fpu_pct	ibuf
64	4	RR	0	4.332995	883376	3827664	54	32.28	(73%)	(61%)	96	0	(49%)
64	4	GTO	0	4.479744	854438	3827664	53	32.42	(72%)	(60%)	96	0	(48%)
64	8	RR	0	3.421751	927702	3174365	28	41.32	(89%)	(72%)	99	0	(57%)
64	8	GTO	0	3.464163	916344	3174365	29	41.28	(89%)	(72%)	99	0	(61%)
64	16	RR	0	2.986019	947855	2830313	23	41.25	(90%)	(74%)	99	0	(55%)
64	16	GTO	0	3.070153	921880	2830313	24	41.29	(90%)	(73%)	99	0	(60%)
128	4	RR	0	7.346502	3751430	27559888	58	20.13	(54%)	(51%)	95	0	(48%)
128	4	GTO	0	7.328239	3760779	27559888	54	21.42	(54%)	(51%)	95	0	(47%)
128	8	RR	0	6.772907	3261479	22089693	37	21.58	(78%)	(74%)	98	0	(68%)
128	8	GTO	0	6.889281	3206386	22089693	37	21.65	(78%)	(73%)	98	0	(70%)
128	16	RR	0	5.530245	3496625	19337193	32	19.18	(82%)	(78%)	99	0	(71%)
128	16	GTO	0	5.896252	3279574	19337193	34	18.92	(81%)	(76%)	98	0	(73%)
256	4	RR	0	9.780599	21716890	212404176	63	14.82	(38%)	(38%)	93	0	(37%)
256	4	GTO	0	8.988855	23629725	212404176	52	18.63	(43%)	(43%)	93	0	(41%)
256	8	RR	0	10.012819	16818321	168398813	40	15.31	(68%)	(67%)	98	0	(66%)
256	8	GTO	0	9.950594	16923493	168398813	39	15.66	(68%)	(67%)	97	0	(66%)
256	16	RR	0	8.030005	18228970	146378729	38	11.50	(74%)	(74%)	99	0	(72%)
256	16	GTO	0	8.362020	17505189	146378729	39	11.41	(73%)	(72%)	98	0	(71%)
