n	t	policy	rc	IPC	L1_hit	L1_MPKI	cold%	thread_local%	intra_warp%	inter_warp%	intra_hit%	inter_hit%
64	4	RR	0	4.332995	54	32.28	1	96	2	0	80	0
64	4	GTO	0	4.479744	53	32.42	1	96	2	0	72	0
64	8	RR	0	3.421751	28	41.32	3	73	22	0	49	0
64	8	GTO	0	3.464163	29	41.28	3	73	22	0	48	0
64	16	RR	0	2.986019	23	41.25	4	73	22	0	55	0
64	16	GTO	0	3.070153	24	41.29	4	72	22	0	55	0
128	4	RR	0	7.346502	58	20.13	0	98	1	0	72	0
128	4	GTO	0	7.328239	54	21.42	0	98	1	0	61	0
128	8	RR	0	6.772907	37	21.58	0	73	25	0	47	0
128	8	GTO	0	6.889281	37	21.65	0	74	25	0	47	0
128	16	RR	0	5.530245	32	19.18	1	72	26	0	52	0
128	16	GTO	0	5.896252	34	18.92	1	72	26	0	55	0
256	4	RR	0	9.780599	63	14.82	0	98	0	0	68	0
256	4	GTO	0	8.988855	52	18.63	0	98	0	0	55	0
256	8	RR	0	10.012819	40	15.31	0	74	25	0	45	0
256	8	GTO	0	9.950594	39	15.66	0	74	25	0	44	0
256	16	RR	0	8.030005	38	11.50	0	71	27	0	51	0
256	16	GTO	0	8.362020	39	11.41	0	71	27	0	53	0
