run,bench,input,working_set_bytes,working_set_note,dcache_size,policy,status,trace_rows,issued,span_cycles,ipc,read_misses,non_cold_misses,reuse_hit_pct,unique_lines,line_local_pct,overflow_sets,read_hit_pct,reuse_access_ratio,line_stride_64_plus_pct,max_unique_tags_per_set,same_set_tag_changes,artifact
6,sgemm3,N8_T4,768,3*N*N*4=768B; local tiles=2*T*T*4=128B,512,RR,ok,6115,840,65693,0.012787,3162,2736,12,437,7.56,2,10,87.68,82.21,346,2997,/home/ltj/2026urp/vortex_arb/worklogs/trace_runs/run6/RR/sgemm3
6,sgemm3,N8_T4,768,3*N*N*4=768B; local tiles=2*T*T*4=128B,512,GTO,ok,9699,840,62364,0.013469,3166,2741,11,437,7.53,2,10,87.68,82.21,346,2996,/home/ltj/2026urp/vortex_arb/worklogs/trace_runs/run6/GTO/sgemm3
6,sgemm3,N8_T4,768,3*N*N*4=768B; local tiles=2*T*T*4=128B,512,gCAWS,ok,6191,840,62635,0.013411,3180,2756,11,437,7.41,2,10,87.68,82.21,346,2994,/home/ltj/2026urp/vortex_arb/worklogs/trace_runs/run6/gCAWS/sgemm3
7,sgemm3,N8_T4,768,3*N*N*4=768B; local tiles=2*T*T*4=128B,1024,RR,ok,6112,840,65664,0.012792,3116,2690,13,437,7.64,4,12,87.68,82.15,268,2967,/home/ltj/2026urp/vortex_arb/worklogs/trace_runs/run7/RR/sgemm3
7,sgemm3,N8_T4,768,3*N*N*4=768B; local tiles=2*T*T*4=128B,1024,GTO,ok,9705,840,62353,0.013472,3088,2669,14,437,7.56,4,12,87.68,82.21,268,2966,/home/ltj/2026urp/vortex_arb/worklogs/trace_runs/run7/GTO/sgemm3
7,sgemm3,N8_T4,768,3*N*N*4=768B; local tiles=2*T*T*4=128B,1024,gCAWS,ok,5908,840,62662,0.013405,3142,2721,12,437,7.44,4,11,87.68,82.21,268,2964,/home/ltj/2026urp/vortex_arb/worklogs/trace_runs/run7/gCAWS/sgemm3
8,sgemm3,N8_T4,768,3*N*N*4=768B; local tiles=2*T*T*4=128B,2048,RR,ok,6068,840,65635,0.012798,3011,2584,16,437,7.64,8,15,87.68,82.15,262,2810,/home/ltj/2026urp/vortex_arb/worklogs/trace_runs/run8/RR/sgemm3
8,sgemm3,N8_T4,768,3*N*N*4=768B; local tiles=2*T*T*4=128B,2048,GTO,ok,9591,840,62306,0.013482,3025,2606,16,437,7.56,8,14,87.68,82.21,262,2808,/home/ltj/2026urp/vortex_arb/worklogs/trace_runs/run8/GTO/sgemm3
8,sgemm3,N8_T4,768,3*N*N*4=768B; local tiles=2*T*T*4=128B,2048,gCAWS,ok,6010,840,62660,0.013406,3044,2624,15,437,7.44,8,14,87.68,82.21,262,2809,/home/ltj/2026urp/vortex_arb/worklogs/trace_runs/run8/gCAWS/sgemm3
9,sgemm3,N8_T4,768,3*N*N*4=768B; local tiles=2*T*T*4=128B,4096,RR,ok,5774,840,65640,0.012797,2870,2439,21,437,7.58,4,19,87.68,82.21,259,2808,/home/ltj/2026urp/vortex_arb/worklogs/trace_runs/run9/RR/sgemm3
